QTR,TypeOfEntry,ProductClass1,ProductClass2,ProductClass3, Amount , QTY 
2017Q02,Sales Revenue,Maxi Dog,,," £101,920.00 "," £20,000.00 "
2017Q01,Sales Revenue,Maxi Dog,,," £3,490.00 "," £20,000.00 "
2016Q04,Sales Revenue,Maxi Dog,,," £171,040.00 "," £20,000.00 "
2016Q03,Sales Revenue,Maxi Dog,,," £67,600.00 "," £20,000.00 "
2016Q02,Sales Revenue,Maxi Dog,,," £91,700.00 "," £20,000.00 "
2016Q01,Sales Revenue,Maxi Dog,,," £198,540.00 "," £20,000.00 "
2015Q04,Sales Revenue,Maxi Dog,,," £27,900.00 "," £20,000.00 "
2015Q03,Sales Revenue,Maxi Dog,,," £32,060.00 "," £20,000.00 "
2015Q02,Sales Revenue,Maxi Dog,,," £63,720.00 "," £20,000.00 "
2015Q01,Sales Revenue,Maxi Dog,,," £158,000.00 "," £20,000.00 "
2014Q04,Sales Revenue,Maxi Dog,,," £180,280.00 "," £20,000.00 "
2014Q03,Sales Revenue,Maxi Dog,,," £176,040.00 "," £20,000.00 "
2014Q02,Sales Revenue,Maxi Dog,,," £159,310.00 "," £20,000.00 "
2014Q01,Sales Revenue,Maxi Dog,,," £50,910.00 "," £20,000.00 "
2013Q04,Sales Revenue,Maxi Dog,,," £140,000.00 "," £20,000.00 "
2013Q03,Sales Revenue,Maxi Dog,,," £65,020.00 "," £20,000.00 "
2013Q02,Sales Revenue,Maxi Dog,,," £128,580.00 "," £20,000.00 "
2013Q01,Sales Revenue,Maxi Dog,,," £113,640.00 "," £20,000.00 "
2012Q04,Sales Revenue,Maxi Dog,,," £101,010.00 "," £20,000.00 "
2012Q03,Sales Revenue,Maxi Dog,,," £81,330.00 "," £20,000.00 "
2012Q02,Sales Revenue,Maxi Dog,,," £28,580.00 "," £20,000.00 "
2012Q01,Sales Revenue,Maxi Dog,,," £193,780.00 "," £20,000.00 "
2011Q04,Sales Revenue,Maxi Dog,,," £118,640.00 "," £20,000.00 "
2011Q03,Sales Revenue,Maxi Dog,,," £96,640.00 "," £20,000.00 "
2011Q02,Sales Revenue,Maxi Dog,,," £33,020.00 "," £20,000.00 "
2011Q01,Sales Revenue,Maxi Dog,,," £16,780.00 "," £20,000.00 "
2010Q04,Sales Revenue,Maxi Dog,,," £188,030.00 "," £20,000.00 "
2010Q03,Sales Revenue,Maxi Dog,,," £177,250.00 "," £20,000.00 "
2010Q02,Sales Revenue,Maxi Dog,,," £142,090.00 "," £20,000.00 "
2010Q01,Sales Revenue,Maxi Dog,,," £88,560.00 "," £20,000.00 "
2009Q04,Sales Revenue,Maxi Dog,,," £7,520.00 "," £20,000.00 "
2009Q03,Sales Revenue,Maxi Dog,,," £186,820.00 "," £20,000.00 "
2009Q02,Sales Revenue,Maxi Dog,,," £164,080.00 "," £20,000.00 "
2009Q01,Sales Revenue,Maxi Dog,,," £94,320.00 "," £20,000.00 "
2008Q04,Sales Revenue,Maxi Dog,,," £187,100.00 "," £20,000.00 "
2008Q03,Sales Revenue,Maxi Dog,,," £173,640.00 "," £20,000.00 "
2008Q02,Sales Revenue,Maxi Dog,,," £39,390.00 "," £20,000.00 "
2008Q01,Sales Revenue,Maxi Dog,,," £192,220.00 "," £20,000.00 "
2007Q04,Sales Revenue,Maxi Dog,,," £195,790.00 "," £20,000.00 "
2007Q03,Sales Revenue,Maxi Dog,,," £5,690.00 "," £20,000.00 "
2007Q02,Sales Revenue,Maxi Dog,,," £150,560.00 "," £20,000.00 "
2007Q01,Sales Revenue,Maxi Dog,,," £63,110.00 "," £20,000.00 "
2006Q04,Sales Revenue,Maxi Dog,,," £198,920.00 "," £20,000.00 "
2006Q03,Sales Revenue,Maxi Dog,,," £184,720.00 "," £20,000.00 "
2006Q02,Sales Revenue,Maxi Dog,,," £4,750.00 "," £20,000.00 "
2006Q01,Sales Revenue,Maxi Dog,,," £112,120.00 "," £20,000.00 "
2005Q04,Sales Revenue,Maxi Dog,,," £164,020.00 "," £20,000.00 "
2005Q03,Sales Revenue,Maxi Dog,,," £19,560.00 "," £20,000.00 "
2005Q02,Sales Revenue,Maxi Dog,,," £4,880.00 "," £20,000.00 "
2005Q01,Sales Revenue,Maxi Dog,,," £108,050.00 "," £20,000.00 "
2004Q04,Sales Revenue,Maxi Dog,,," £122,330.00 "," £20,000.00 "
2004Q03,Sales Revenue,Maxi Dog,,," £181,940.00 "," £20,000.00 "
2004Q02,Sales Revenue,Maxi Dog,,," £187,530.00 "," £20,000.00 "
2004Q01,Sales Revenue,Maxi Dog,,," £183,150.00 "," £20,000.00 "
2003Q04,Sales Revenue,Maxi Dog,,," £194,760.00 "," £20,000.00 "
2003Q03,Sales Revenue,Maxi Dog,,," £178,120.00 "," £20,000.00 "
2003Q02,Sales Revenue,Maxi Dog,,," £199,620.00 "," £20,000.00 "
2003Q01,Sales Revenue,Maxi Dog,,," £192,560.00 "," £20,000.00 "
2002Q04,Sales Revenue,Maxi Dog,,," £49,330.00 "," £20,000.00 "
2002Q03,Sales Revenue,Maxi Dog,,," £137,030.00 "," £20,000.00 "
2002Q02,Sales Revenue,Maxi Dog,,," £89,200.00 "," £20,000.00 "
2002Q01,Sales Revenue,Maxi Dog,,," £12,820.00 "," £20,000.00 "
2001Q04,Sales Revenue,Maxi Dog,,," £1,750.00 "," £20,000.00 "
2001Q03,Sales Revenue,Maxi Dog,,," £161,290.00 "," £20,000.00 "
2001Q02,Sales Revenue,Maxi Dog,,," £171,110.00 "," £20,000.00 "
2001Q01,Sales Revenue,Maxi Dog,,," £13,260.00 "," £20,000.00 "
2000Q04,Sales Revenue,Maxi Dog,,," £85,970.00 "," £20,000.00 "
2000Q03,Sales Revenue,Maxi Dog,,," £84,880.00 "," £20,000.00 "
2000Q02,Sales Revenue,Maxi Dog,,," £33,560.00 "," £20,000.00 "
2000Q01,Sales Revenue,Maxi Dog,,," £116,120.00 "," £20,000.00 "
1999Q04,Sales Revenue,Maxi Dog,,," £147,690.00 "," £20,000.00 "
1999Q03,Sales Revenue,Maxi Dog,,," £54,190.00 "," £20,000.00 "
1999Q02,Sales Revenue,Maxi Dog,,," £56,270.00 "," £20,000.00 "
1999Q01,Sales Revenue,Maxi Dog,,," £81,970.00 "," £20,000.00 "
2017Q02,Sales Revenue,Kitty Box,,," £76,440.00 "," £30,000.00 "
2017Q01,Sales Revenue,Kitty Box,,," £2,617.50 "," £30,000.00 "
2016Q04,Sales Revenue,Kitty Box,,," £128,280.00 "," £30,000.00 "
2016Q03,Sales Revenue,Kitty Box,,," £50,700.00 "," £30,000.00 "
2016Q02,Sales Revenue,Kitty Box,,," £68,775.00 "," £30,000.00 "
2016Q01,Sales Revenue,Kitty Box,,," £148,905.00 "," £30,000.00 "
2015Q04,Sales Revenue,Kitty Box,,," £20,925.00 "," £30,000.00 "
2015Q03,Sales Revenue,Kitty Box,,," £24,045.00 "," £30,000.00 "
2015Q02,Sales Revenue,Kitty Box,,," £47,790.00 "," £30,000.00 "
2015Q01,Sales Revenue,Kitty Box,,," £118,500.00 "," £30,000.00 "
2014Q04,Sales Revenue,Kitty Box,,," £135,210.00 "," £30,000.00 "
2014Q03,Sales Revenue,Kitty Box,,," £132,030.00 "," £30,000.00 "
2014Q02,Sales Revenue,Kitty Box,,," £119,482.50 "," £30,000.00 "
2014Q01,Sales Revenue,Kitty Box,,," £38,182.50 "," £30,000.00 "
2013Q04,Sales Revenue,Kitty Box,,," £105,000.00 "," £30,000.00 "
2013Q03,Sales Revenue,Kitty Box,,," £48,765.00 "," £30,000.00 "
2013Q02,Sales Revenue,Kitty Box,,," £96,435.00 "," £30,000.00 "
2013Q01,Sales Revenue,Kitty Box,,," £85,230.00 "," £30,000.00 "
2012Q04,Sales Revenue,Kitty Box,,," £75,757.50 "," £30,000.00 "
2012Q03,Sales Revenue,Kitty Box,,," £60,997.50 "," £30,000.00 "
2012Q02,Sales Revenue,Kitty Box,,," £21,435.00 "," £30,000.00 "
2012Q01,Sales Revenue,Kitty Box,,," £145,335.00 "," £30,000.00 "
2011Q04,Sales Revenue,Kitty Box,,," £88,980.00 "," £30,000.00 "
2011Q03,Sales Revenue,Kitty Box,,," £72,480.00 "," £30,000.00 "
2011Q02,Sales Revenue,Kitty Box,,," £24,765.00 "," £30,000.00 "
2011Q01,Sales Revenue,Kitty Box,,," £12,585.00 "," £30,000.00 "
2010Q04,Sales Revenue,Kitty Box,,," £141,022.50 "," £30,000.00 "
2010Q03,Sales Revenue,Kitty Box,,," £132,937.50 "," £30,000.00 "
2010Q02,Sales Revenue,Kitty Box,,," £106,567.50 "," £30,000.00 "
2010Q01,Sales Revenue,Kitty Box,,," £66,420.00 "," £30,000.00 "
2009Q04,Sales Revenue,Kitty Box,,," £5,640.00 "," £30,000.00 "
2009Q03,Sales Revenue,Kitty Box,,," £140,115.00 "," £30,000.00 "
2009Q02,Sales Revenue,Kitty Box,,," £123,060.00 "," £30,000.00 "
2009Q01,Sales Revenue,Kitty Box,,," £70,740.00 "," £30,000.00 "
2008Q04,Sales Revenue,Kitty Box,,," £140,325.00 "," £30,000.00 "
2008Q03,Sales Revenue,Kitty Box,,," £130,230.00 "," £30,000.00 "
2008Q02,Sales Revenue,Kitty Box,,," £29,542.50 "," £30,000.00 "
2008Q01,Sales Revenue,Kitty Box,,," £144,165.00 "," £30,000.00 "
2007Q04,Sales Revenue,Kitty Box,,," £146,842.50 "," £30,000.00 "
2007Q03,Sales Revenue,Kitty Box,,," £4,267.50 "," £30,000.00 "
2007Q02,Sales Revenue,Kitty Box,,," £112,920.00 "," £30,000.00 "
2007Q01,Sales Revenue,Kitty Box,,," £47,332.50 "," £30,000.00 "
2006Q04,Sales Revenue,Kitty Box,,," £149,190.00 "," £30,000.00 "
2006Q03,Sales Revenue,Kitty Box,,," £138,540.00 "," £30,000.00 "
2006Q02,Sales Revenue,Kitty Box,,," £3,562.50 "," £30,000.00 "
2006Q01,Sales Revenue,Kitty Box,,," £84,090.00 "," £30,000.00 "
2005Q04,Sales Revenue,Kitty Box,,," £123,015.00 "," £30,000.00 "
2005Q03,Sales Revenue,Kitty Box,,," £14,670.00 "," £30,000.00 "
2005Q02,Sales Revenue,Kitty Box,,," £3,660.00 "," £30,000.00 "
2005Q01,Sales Revenue,Kitty Box,,," £81,037.50 "," £30,000.00 "
2004Q04,Sales Revenue,Kitty Box,,," £91,747.50 "," £30,000.00 "
2004Q03,Sales Revenue,Kitty Box,,," £136,455.00 "," £30,000.00 "
2004Q02,Sales Revenue,Kitty Box,,," £140,647.50 "," £30,000.00 "
2004Q01,Sales Revenue,Kitty Box,,," £137,362.50 "," £30,000.00 "
2003Q04,Sales Revenue,Kitty Box,,," £146,070.00 "," £30,000.00 "
2003Q03,Sales Revenue,Kitty Box,,," £133,590.00 "," £30,000.00 "
2003Q02,Sales Revenue,Kitty Box,,," £149,715.00 "," £30,000.00 "
2003Q01,Sales Revenue,Kitty Box,,," £144,420.00 "," £30,000.00 "
2002Q04,Sales Revenue,Kitty Box,,," £36,997.50 "," £30,000.00 "
2002Q03,Sales Revenue,Kitty Box,,," £102,772.50 "," £30,000.00 "
2002Q02,Sales Revenue,Kitty Box,,," £66,900.00 "," £30,000.00 "
2002Q01,Sales Revenue,Kitty Box,,," £9,615.00 "," £30,000.00 "
2001Q04,Sales Revenue,Kitty Box,,," £1,312.50 "," £30,000.00 "
2001Q03,Sales Revenue,Kitty Box,,," £120,967.50 "," £30,000.00 "
2001Q02,Sales Revenue,Kitty Box,,," £128,332.50 "," £30,000.00 "
2001Q01,Sales Revenue,Kitty Box,,," £9,945.00 "," £30,000.00 "
2000Q04,Sales Revenue,Kitty Box,,," £64,477.50 "," £30,000.00 "
2000Q03,Sales Revenue,Kitty Box,,," £63,660.00 "," £30,000.00 "
2000Q02,Sales Revenue,Kitty Box,,," £25,170.00 "," £30,000.00 "
2000Q01,Sales Revenue,Kitty Box,,," £87,090.00 "," £30,000.00 "
1999Q04,Sales Revenue,Kitty Box,,," £110,767.50 "," £30,000.00 "
1999Q03,Sales Revenue,Kitty Box,,," £40,642.50 "," £30,000.00 "
1999Q02,Sales Revenue,Kitty Box,,," £42,202.50 "," £30,000.00 "
1999Q01,Sales Revenue,Kitty Box,,," £61,477.50 "," £30,000.00 "
2017Q02,Sales Revenue,Muis Huis,,," £305,760.00 "," £5,000.00 "
2017Q01,Sales Revenue,Muis Huis,,," £10,470.00 "," £5,000.00 "
2016Q04,Sales Revenue,Muis Huis,,," £513,120.00 "," £5,000.00 "
2016Q03,Sales Revenue,Muis Huis,,," £202,800.00 "," £5,000.00 "
2016Q02,Sales Revenue,Muis Huis,,," £275,100.00 "," £5,000.00 "
2016Q01,Sales Revenue,Muis Huis,,," £595,620.00 "," £5,000.00 "
2015Q04,Sales Revenue,Muis Huis,,," £83,700.00 "," £5,000.00 "
2015Q03,Sales Revenue,Muis Huis,,," £96,180.00 "," £5,000.00 "
2015Q02,Sales Revenue,Muis Huis,,," £191,160.00 "," £5,000.00 "
2015Q01,Sales Revenue,Muis Huis,,," £474,000.00 "," £5,000.00 "
2014Q04,Sales Revenue,Muis Huis,,," £540,840.00 "," £5,000.00 "
2014Q03,Sales Revenue,Muis Huis,,," £528,120.00 "," £5,000.00 "
2014Q02,Sales Revenue,Muis Huis,,," £477,930.00 "," £5,000.00 "
2014Q01,Sales Revenue,Muis Huis,,," £152,730.00 "," £5,000.00 "
2013Q04,Sales Revenue,Muis Huis,,," £420,000.00 "," £5,000.00 "
2013Q03,Sales Revenue,Muis Huis,,," £195,060.00 "," £5,000.00 "
2013Q02,Sales Revenue,Muis Huis,,," £385,740.00 "," £5,000.00 "
2013Q01,Sales Revenue,Muis Huis,,," £340,920.00 "," £5,000.00 "
2012Q04,Sales Revenue,Muis Huis,,," £303,030.00 "," £5,000.00 "
2012Q03,Sales Revenue,Muis Huis,,," £243,990.00 "," £5,000.00 "
2012Q02,Sales Revenue,Muis Huis,,," £85,740.00 "," £5,000.00 "
