QTR,TypeOfEntry,ProductClass1,ProductClass2,ProductClass3,Amount,QTY
2017Q02,Cost of Sales,Hot Blanket,"","",,
2017Q02,Cost of Sales,Kitty Box,"","",,
2017Q02,Cost of Sales,Maxi Dog,"","",,
2017Q02,Cost of Sales,Muis Huis,"","",,
2017Q02,Cost of Sales,Water Jug,"","",,
2017Q02,EXPENSES,Adminstrative,Depreciation,"",,
2017Q02,EXPENSES,Adminstrative,Insurance,"",,
2017Q02,EXPENSES,Adminstrative,Meals and entertainment,"",,
2017Q02,EXPENSES,Adminstrative,Outside services,"",,
2017Q02,EXPENSES,Adminstrative,Rent,"",,
2017Q02,EXPENSES,Adminstrative,Repairs and maintence,"",,
2017Q02,EXPENSES,Adminstrative,Supplies,"",,
2017Q02,EXPENSES,Adminstrative,Telephone,"",,
2017Q02,EXPENSES,Adminstrative,Utilities,"",,
2017Q02,EXPENSES,Adminstrative,Wages and salaries,"",,
2017Q02,EXPENSES,Adminstrative,Web site consultancy,"",,
2017Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,"",,
2017Q02,EXPENSES,Adminstrative,Web site maintence,"",,
2017Q02,EXPENSES,Development,Patents,"",,
2017Q02,EXPENSES,Development,Technology Rental,"",,
2017Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,"",,
2017Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,"",,
2017Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,,
2017Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,,
2017Q02,Non-Operation Income,Gifts and Dotions,"","",,
2017Q02,Non-Operation Income,Interest,"","",,
2017Q02,Non-Operation Income,Other Income,"","",,
2017Q02,Non-Operation Income,Rental,"","",,
2017Q02,Sales Revenue,Hot Blanket,"","",,
2017Q02,Sales Revenue,Kitty Box,"","",,
2017Q02,Sales Revenue,Maxi Dog,"","",,
2017Q02,Sales Revenue,Muis Huis,"","",,
2017Q02,Sales Revenue,Water Jug,"","",,
2017Q01,Cost of Sales,Hot Blanket,"","",,
2017Q01,Cost of Sales,Kitty Box,"","",,
2017Q01,Cost of Sales,Maxi Dog,"","",,
2017Q01,Cost of Sales,Muis Huis,"","",,
2017Q01,Cost of Sales,Water Jug,"","",,
2017Q01,EXPENSES,Adminstrative,Depreciation,"",,
2017Q01,EXPENSES,Adminstrative,Insurance,"",,
2017Q01,EXPENSES,Adminstrative,Meals and entertainment,"",,
2017Q01,EXPENSES,Adminstrative,Outside services,"",,
2017Q01,EXPENSES,Adminstrative,Rent,"",,
2017Q01,EXPENSES,Adminstrative,Repairs and maintence,"",,
2017Q01,EXPENSES,Adminstrative,Supplies,"",,
2017Q01,EXPENSES,Adminstrative,Telephone,"",,
2017Q01,EXPENSES,Adminstrative,Utilities,"",,
2017Q01,EXPENSES,Adminstrative,Wages and salaries,"",,
2017Q01,EXPENSES,Adminstrative,Web site consultancy,"",,
2017Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,"",,
2017Q01,EXPENSES,Adminstrative,Web site maintence,"",,
2017Q01,EXPENSES,Development,Patents,"",,
2017Q01,EXPENSES,Development,Technology Rental,"",,
2017Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,"",,
2017Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,"",,
2017Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,,
2017Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,,
2017Q01,Non-Operation Income,Gifts and Dotions,"","",,
2017Q01,Non-Operation Income,Interest,"","",,
2017Q01,Non-Operation Income,Other Income,"","",,
2017Q01,Non-Operation Income,Rental,"","",,
