QTR,TypeOfEntry,ProductClass1,ProductClass2,ProductClass3,Amount,QTY
2017Q02,Cost of Sales,Hot Blanket,,,2989.2,12000
2017Q02,Cost of Sales,Kitty Box,,,19928,30000
2017Q02,Cost of Sales,Maxi Dog,,,34874,15000
2017Q02,Cost of Sales,Muis Huis,,,29892,4000
2017Q02,Cost of Sales,Water Jug,,,199.28,180000
2017Q02,EXPENSES,Adminstrative,Depreciation,,1.14e+08,
2017Q02,EXPENSES,Adminstrative,Insurance,,24700000,
2017Q02,EXPENSES,Adminstrative,Meals and entertainment,,570000,
2017Q02,EXPENSES,Adminstrative,Outside services,,28500000,
2017Q02,EXPENSES,Adminstrative,Rent,,190000,
2017Q02,EXPENSES,Adminstrative,Repairs and maintence,,15200000,
2017Q02,EXPENSES,Adminstrative,Supplies,,760000,
2017Q02,EXPENSES,Adminstrative,Telephone,,1.9e+07,
2017Q02,EXPENSES,Adminstrative,Utilities,,36100000,
2017Q02,EXPENSES,Adminstrative,Wages and salaries,,5.7e+07,
2017Q02,EXPENSES,Adminstrative,Web site consultancy,,760000,
2017Q02,EXPENSES,Adminstrative,Web site launch and Web Hosting,,380000,
2017Q02,EXPENSES,Adminstrative,Web site maintence,,7600,
2017Q02,EXPENSES,Development,Patents,,114000,
2017Q02,EXPENSES,Development,Technology Rental,,570000,
2017Q02,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,456000,
2017Q02,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,45600000,
2017Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,760000,
2017Q02,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,57000,
2017Q02,Non-Operation Income,Gifts and Dotions,,,38000,
2017Q02,Non-Operation Income,Interest,,,114000,
2017Q02,Non-Operation Income,Other Income,,,1330,
2017Q02,Non-Operation Income,Rental,,,1520000,
2017Q02,Sales Revenue,Hot Blanket,,,20384,20000
2017Q02,Sales Revenue,Kitty Box,,,76440,30000
2017Q02,Sales Revenue,Maxi Dog,,,101920,20000
2017Q02,Sales Revenue,Muis Huis,,,305760,5000
2017Q02,Sales Revenue,Water Jug,,,509.6,2e+05
2017Q01,Cost of Sales,Hot Blanket,,,675.3,12000
2017Q01,Cost of Sales,Kitty Box,,,4502,30000
2017Q01,Cost of Sales,Maxi Dog,,,7878.5,15000
2017Q01,Cost of Sales,Muis Huis,,,6753,4000
2017Q01,Cost of Sales,Water Jug,,,45.02,180000
2017Q01,EXPENSES,Adminstrative,Depreciation,,3.3e+07,
2017Q01,EXPENSES,Adminstrative,Insurance,,7150000,
2017Q01,EXPENSES,Adminstrative,Meals and entertainment,,165000,
2017Q01,EXPENSES,Adminstrative,Outside services,,8250000,
2017Q01,EXPENSES,Adminstrative,Rent,,55000,
2017Q01,EXPENSES,Adminstrative,Repairs and maintence,,4400000,
2017Q01,EXPENSES,Adminstrative,Supplies,,220000,
2017Q01,EXPENSES,Adminstrative,Telephone,,5500000,
2017Q01,EXPENSES,Adminstrative,Utilities,,10450000,
2017Q01,EXPENSES,Adminstrative,Wages and salaries,,16500000,
2017Q01,EXPENSES,Adminstrative,Web site consultancy,,220000,
2017Q01,EXPENSES,Adminstrative,Web site launch and Web Hosting,,110000,
2017Q01,EXPENSES,Adminstrative,Web site maintence,,2200,
2017Q01,EXPENSES,Development,Patents,,33000,
2017Q01,EXPENSES,Development,Technology Rental,,165000,
2017Q01,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,132000,
2017Q01,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,13200000,
2017Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,220000,
2017Q01,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,16500,
2017Q01,Non-Operation Income,Gifts and Dotions,,,11000,
2017Q01,Non-Operation Income,Interest,,,33000,
2017Q01,Non-Operation Income,Other Income,,,385,
2017Q01,Non-Operation Income,Rental,,,440000,
2017Q01,Sales Revenue,Hot Blanket,,,698,20000
2017Q01,Sales Revenue,Kitty Box,,,2617.5,30000
2017Q01,Sales Revenue,Maxi Dog,,,3490,20000
2017Q01,Sales Revenue,Muis Huis,,,10470,5000
2017Q01,Sales Revenue,Water Jug,,,17.45,2e+05
2016Q04,Cost of Sales,Hot Blanket,,,55.5,12000
2016Q04,Cost of Sales,Kitty Box,,,370,30000
2016Q04,Cost of Sales,Maxi Dog,,,647.5,15000
2016Q04,Cost of Sales,Muis Huis,,,555,4000
2016Q04,Cost of Sales,Water Jug,,,3.7,180000
2016Q04,EXPENSES,Adminstrative,Depreciation,,2.4e+07,
2016Q04,EXPENSES,Adminstrative,Insurance,,5200000,
2016Q04,EXPENSES,Adminstrative,Meals and entertainment,,120000,
2016Q04,EXPENSES,Adminstrative,Outside services,,6e+06,
2016Q04,EXPENSES,Adminstrative,Rent,,40000,
2016Q04,EXPENSES,Adminstrative,Repairs and maintence,,3200000,
2016Q04,EXPENSES,Adminstrative,Supplies,,160000,
2016Q04,EXPENSES,Adminstrative,Telephone,,4e+06,
2016Q04,EXPENSES,Adminstrative,Utilities,,7600000,
2016Q04,EXPENSES,Adminstrative,Wages and salaries,,1.2e+07,
2016Q04,EXPENSES,Adminstrative,Web site consultancy,,160000,
2016Q04,EXPENSES,Adminstrative,Web site launch and Web Hosting,,80000,
2016Q04,EXPENSES,Adminstrative,Web site maintence,,1600,
2016Q04,EXPENSES,Development,Patents,,24000,
2016Q04,EXPENSES,Development,Technology Rental,,120000,
2016Q04,EXPENSES,Non-Recurring Expenses,Rewards and Gifts Given,,96000,
2016Q04,EXPENSES,Non-Recurring Expenses,Software and Hardware Equipments,,9600000,
2016Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Advertising,160000,
2016Q04,EXPENSES,Operating Expenses,Marketing and Advertising,Direct marketing,12000,
2016Q04,Non-Operation Income,Gifts and Dotions,,,8000,
2016Q04,Non-Operation Income,Interest,,,24000,
2016Q04,Non-Operation Income,Other Income,,,280,
2016Q04,Non-Operation Income,Rental,,,320000,
2016Q04,Sales Revenue,Hot Blanket,,,34208,20000
2016Q04,Sales Revenue,Kitty Box,,,128280,30000
