Age,Females,Males,Total,Males(%),Females(%)
0-4,307079,328759,635838,-4.45307471,4.767465012
05-Sep,293664,315119,608783,-4.258538459,4.569665947
Oct-14,290598,311456,602054,-4.214077174,4.516547327
15-19,293313,312831,606144,-4.253448469,4.536486749
20-24,295739,311077,606816,-4.288628859,4.511051298
25-29,273379,284258,557637,-3.964377607,4.122138312
30-34,247383,255596,502979,-3.587399271,3.706499251
35-39,241938,248575,490513,-3.508439161,3.604684938
40-44,226914,232217,459131,-3.290570162,3.367471074
45-49,201142,202633,403775,-2.91684014,2.938461724
50-54,176440,176241,352681,-2.558626613,2.555740835
55-59,156283,153494,309777,-2.266321939,2.225877541
60-64,121200,114194,235394,-1.757569403,1.655972611
65-69,92071,83129,175200,-1.335158189,1.205486691
70-74,77990,65266,143256,-1.130964008,0.946448223
75-79,56895,43761,100656,-0.825057023,0.634595666
80-84,37873,25060,62933,-0.549211436,0.363405027
85-89,19573,10589,30162,-0.283835858,0.1535553
90-94,6614,2943,9557,-0.095912245,0.042677613
95-99,1739,570,2309,-0.025217931,0.008265797
100+,230,62,292,-0.003335321,0.000899087
,3418057,3477830,6895887,-49.56660398,50.43339602
